Name,Longitude,Latitude,RAG,popuptext
Royal Surrey County Hospital NHS Foundation Trust,-0.607463,51.241016,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Royal Surrey County Hospital NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 14%</span><br/>
      <span>Breaching 4 hour target (Type 1): 14%</span><br/><br/>

      <span>Beds occupied: 78.8%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 383</span><br/>
      <span>DToC days (Social Care): 134</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 0.7%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 7.9%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 5.9%</span>
      </div>"
Weston Area Health NHS Trust,-2.971399,51.322335,amber,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Weston Area Health NHS Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 22.7%</span><br/>
      <span>Breaching 4 hour target (Type 1): 22.7%</span><br/><br/>

      <span>Beds occupied: 88.7%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 413</span><br/>
      <span>DToC days (Social Care): 299</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 0.9%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 6.5%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 7.1%</span>
      </div>"
Yeovil District Hospital NHS Foundation Trust,-2.634712,50.944843,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Yeovil District Hospital NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 3.7%</span><br/>
      <span>Breaching 4 hour target (Type 1): 3.7%</span><br/><br/>

      <span>Beds occupied: 83.7%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 50</span><br/>
      <span>DToC days (Social Care): 26</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 2.2%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 4.9%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 8.2%</span>
      </div>"
University Hospitals Bristol NHS Foundation Trust,-2.593019,51.459478,amber,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>University Hospitals Bristol NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 17%</span><br/>
      <span>Breaching 4 hour target (Type 1): 19.5%</span><br/><br/>

      <span>Beds occupied: 87.3%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 249</span><br/>
      <span>DToC days (Social Care): 378</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 1.9%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 8.6%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 7.2%</span>
      </div>"
Torbay and South Devon NHS Foundation Trust,-3.553804,50.482316,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Torbay and South Devon NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 12.5%</span><br/>
      <span>Breaching 4 hour target (Type 1): 17.5%</span><br/><br/>

      <span>Beds occupied: 83.8%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 266</span><br/>
      <span>DToC days (Social Care): 233</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 2.2%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 5.4%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 4.9%</span>
      </div>"
Bradford Teaching Hospitals NHS Foundation Trust,-1.794697,53.80598,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Bradford Teaching Hospitals NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 21.9%</span><br/>
      <span>Breaching 4 hour target (Type 1): 24.5%</span><br/><br/>

      <span>Beds occupied: 91.1%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 216</span><br/>
      <span>DToC days (Social Care): 2</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 3%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 8.4%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 6%</span>
      </div>"
Southend University Hospital NHS Foundation Trust,0.688617,51.553838,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Southend University Hospital NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 21.6%</span><br/>
      <span>Breaching 4 hour target (Type 1): 27.3%</span><br/><br/>

      <span>Beds occupied: 83.6%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 184</span><br/>
      <span>DToC days (Social Care): 52</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 1.6%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 7.3%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 8%</span>
      </div>"
Royal Free London NHS Foundation Trust,-0.165324,51.553224,amber,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Royal Free London NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 16.8%</span><br/>
      <span>Breaching 4 hour target (Type 1): 19.5%</span><br/><br/>

      <span>Beds occupied: 79.3%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 434</span><br/>
      <span>DToC days (Social Care): 184</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 3.8%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 12.8%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 12.5%</span>
      </div>"
Royal National Orthopaedic Hospital NHS Trust,-0.310435,51.632566,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Royal National Orthopaedic Hospital NHS Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: NA%</span><br/>
      <span>Breaching 4 hour target (Type 1): NA%</span><br/><br/>

      <span>Beds occupied: 67%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 69</span><br/>
      <span>DToC days (Social Care): 5</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 2%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 4.6%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 8.1%</span>
      </div>"
North Middlesex University Hospital NHS Trust,-0.07375,51.613094,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>North Middlesex University Hospital NHS Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 14.7%</span><br/>
      <span>Breaching 4 hour target (Type 1): 23.9%</span><br/><br/>

      <span>Beds occupied: 91.2%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 106</span><br/>
      <span>DToC days (Social Care): 127</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 4.8%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 15%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 12.2%</span>
      </div>"
The Hillingdon Hospitals NHS Foundation Trust,-0.461175,51.526077,amber,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>The Hillingdon Hospitals NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 18.1%</span><br/>
      <span>Breaching 4 hour target (Type 1): 39.4%</span><br/><br/>

      <span>Beds occupied: 82.3%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 279</span><br/>
      <span>DToC days (Social Care): 32</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 5.6%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 11.3%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 10.2%</span>
      </div>"
North East London NHS Foundation Trust,0.171092,51.518623,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>North East London NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 1.5%</span><br/>
      <span>Breaching 4 hour target (Type 1): NA%</span><br/><br/>

      <span>Beds occupied: 82.5%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 126</span><br/>
      <span>DToC days (Social Care): 59</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): NaN%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 2.3%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 21.3%</span>
      </div>"
Kingston Hospital NHS Foundation Trust,-0.282601,51.414826,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Kingston Hospital NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 11.7%</span><br/>
      <span>Breaching 4 hour target (Type 1): 12.9%</span><br/><br/>

      <span>Beds occupied: 92.4%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 269</span><br/>
      <span>DToC days (Social Care): 92</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 5.6%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 10.3%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 9.7%</span>
      </div>"
Taunton and Somerset NHS Foundation Trust,-3.11965,51.011962,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Taunton and Somerset NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 9.6%</span><br/>
      <span>Breaching 4 hour target (Type 1): 9.6%</span><br/><br/>

      <span>Beds occupied: 84.3%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 241</span><br/>
      <span>DToC days (Social Care): 60</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 1.5%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 6.6%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 7.6%</span>
      </div>"
Dorset County Hospital NHS Foundation Trust,-2.446936,50.71294,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Dorset County Hospital NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 5.2%</span><br/>
      <span>Breaching 4 hour target (Type 1): 10.4%</span><br/><br/>

      <span>Beds occupied: 84.9%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 471</span><br/>
      <span>DToC days (Social Care): 41</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 1.7%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 6.1%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 7.4%</span>
      </div>"
Walsall Healthcare NHS Trust,-1.998924,52.58233,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Walsall Healthcare NHS Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 21.1%</span><br/>
      <span>Breaching 4 hour target (Type 1): 30.8%</span><br/><br/>

      <span>Beds occupied: 85.7%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 364</span><br/>
      <span>DToC days (Social Care): 0</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 6.7%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 13%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 10.3%</span>
      </div>"
Wirral University Teaching Hospital NHS Foundation Trust,-3.096815,53.36964,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Wirral University Teaching Hospital NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 25%</span><br/>
      <span>Breaching 4 hour target (Type 1): 36.4%</span><br/><br/>

      <span>Beds occupied: 88.9%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 320</span><br/>
      <span>DToC days (Social Care): 226</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 0.5%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 9.9%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 8.7%</span>
      </div>"
St Helens and Knowsley Hospital Services NHS Trust,-2.784954,53.420469,amber,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>St Helens and Knowsley Hospital Services NHS Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 31.6%</span><br/>
      <span>Breaching 4 hour target (Type 1): 31.6%</span><br/><br/>

      <span>Beds occupied: 92.8%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 654</span><br/>
      <span>DToC days (Social Care): 45</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 3.5%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 12.5%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 12.1%</span>
      </div>"
Liverpool Heart and Chest Hospital NHS Foundation Trust,-2.897989,53.411151,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Liverpool Heart and Chest Hospital NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: NA%</span><br/>
      <span>Breaching 4 hour target (Type 1): NA%</span><br/><br/>

      <span>Beds occupied: 76.2%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 119</span><br/>
      <span>DToC days (Social Care): 74</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 0.7%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 10.7%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 14.5%</span>
      </div>"
Alder Hey Children's NHS Foundation Trust,-2.898723,53.420242,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Alder Hey Children's NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 4.7%</span><br/>
      <span>Breaching 4 hour target (Type 1): 4.7%</span><br/><br/>

      <span>Beds occupied: 77.3%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): NA</span><br/>
      <span>DToC days (Social Care): NA</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 1.2%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 14.5%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 11.4%</span>
      </div>"
Mid Cheshire Hospitals NHS Foundation Trust,-2.475863,53.117685,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Mid Cheshire Hospitals NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 16.4%</span><br/>
      <span>Breaching 4 hour target (Type 1): 21.4%</span><br/><br/>

      <span>Beds occupied: 84.6%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 280</span><br/>
      <span>DToC days (Social Care): 76</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 2.5%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 6.2%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 5.9%</span>
      </div>"
The Christie NHS Foundation Trust,-2.230125,53.429767,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>The Christie NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: NA%</span><br/>
      <span>Breaching 4 hour target (Type 1): NA%</span><br/><br/>

      <span>Beds occupied: 86.8%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 25</span><br/>
      <span>DToC days (Social Care): 0</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 0.9%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 5.6%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 3.3%</span>
      </div>"
Northern Devon Healthcare NHS Trust,-4.050431,51.092169,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Northern Devon Healthcare NHS Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 15.5%</span><br/>
      <span>Breaching 4 hour target (Type 1): 18.6%</span><br/><br/>

      <span>Beds occupied: 75.7%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 110</span><br/>
      <span>DToC days (Social Care): 173</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 0%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 7.1%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 9.5%</span>
      </div>"
